code;mag;alert;place;sig;tsunami;title;Año;Mes;Dia;Hora;Minuto;Segundos;sismoCH;grado_sismo
b000tq9w;5.2;;126km NNE of Tobelo, Indonesia;416;1;M 5.2 - 126km NNE of Tobelo, Indonesia;2015;2;18;11;31;53;0;0
b000tq9f;6.1;green;187km W of Lata, Solomon Islands;572;0;M 6.1 - 187km W of Lata, Solomon Islands;2015;2;18;6;32;26;0;1
b000tq8s;5.4;;88km SSW of Buala, Solomon Islands;449;0;M 5.4 - 88km SSW of Buala, Solomon Islands;2015;2;18;1;43;39;0;0
b000tq8c;5.4;;108km ENE of Georgetown, Saint Helena;449;0;M 5.4 - 108km ENE of Georgetown, Saint Helena;2015;2;17;23;20;37;0;0
b000tq7z;5.0;;Northern East Pacific Rise;385;0;M 5.0 - Northern East Pacific Rise;2015;2;17;22;41;12;0;0
b000tq7i;5.5;green;Northern East Pacific Rise;465;0;M 5.5 - Northern East Pacific Rise;2015;2;17;22;16;17;0;0
b000tq6v;5.5;green;Northern East Pacific Rise;465;0;M 5.5 - Northern East Pacific Rise;2015;2;17;21;48;28;0;0
b000tq2a;5.5;green;140km E of Miyako, Japan;466;0;M 5.5 - 140km E of Miyako, Japan;2015;2;17;13;33;21;0;0
b000tq1p;5.4;;22km ENE of La Ligua, Chile;585;0;M 5.4 - 22km ENE of La Ligua, Chile;2015;2;17;11;35;54;1;0
b000tpyf;5.2;;181km NE of Gisborne, New Zealand;416;0;M 5.2 - 181km NE of Gisborne, New Zealand;2015;2;17;2;56;57;0;0
b000tpy8;5.5;green;51km ESE of Ichinohe, Japan;473;0;M 5.5 - 51km ESE of Ichinohe, Japan;2015;2;17;1;46;38;0;0
b000tpxn;5.3;;156km NNW of Visokoi Island, South Georgia and the South Sandwich Islands;432;0;M 5.3 - 156km NNW of Visokoi Island, South Georgia and the South Sandwich Islands;2015;2;17;0;6;30;0;0
b000tpx9;5.1;;136km SE of Bitung, Indonesia;400;0;M 5.1 - 136km SE of Bitung, Indonesia;2015;2;16;23;14;58;0;0
b000tpvj;6.7;green;83km ENE of Miyako, Japan;716;1;M 6.7 - 83km ENE of Miyako, Japan;2015;2;16;20;6;28;0;1
b000tpuw;6.2;green;146km NNW of Visokoi Island, South Georgia and the South Sandwich Islands;591;1;M 6.2 - 146km NNW of Visokoi Island, South Georgia and the South Sandwich Islands;2015;2;16;19;0;53;0;1
b000tpki;5.2;;34km SW of Lata, Solomon Islands;416;0;M 5.2 - 34km SW of Lata, Solomon Islands;2015;2;15;18;8;43;0;0
b000tpiq;5.4;;76km SW of Nadi, Fiji;449;0;M 5.4 - 76km SW of Nadi, Fiji;2015;2;15;10;49;47;0;0
b000tpil;5.3;;91km ESE of Kimbe, Papua New Guinea;432;1;M 5.3 - 91km ESE of Kimbe, Papua New Guinea;2015;2;15;9;56;47;0;0
b000tpig;5.1;;North of Ascension Island;400;0;M 5.1 - North of Ascension Island;2015;2;15;9;10;41;0;0
b000tphp;5.0;;110km NNW of Isangel, Vanuatu;385;0;M 5.0 - 110km NNW of Isangel, Vanuatu;2015;2;15;7;3;10;0;0
b000tpdp;5.0;;216km NW of Visokoi Island, South Georgia and the South Sandwich Islands;385;0;M 5.0 - 216km NW of Visokoi Island, South Georgia and the South Sandwich Islands;2015;2;14;16;12;55;0;0
c000trhk;5.0;;33km SSW of Kirakira, Solomon Islands;385;0;M 5.0 - 33km SSW of Kirakira, Solomon Islands;2015;2;14;15;59;7;0;0
b000tpcz;5.3;;Southern Mid-Atlantic Ridge;432;0;M 5.3 - Southern Mid-Atlantic Ridge;2015;2;14;13;54;24;0;0
b000tp6y;6.2;green;31km ESE of Taitung City, Taiwan;606;0;M 6.2 - 31km ESE of Taitung City, Taiwan;2015;2;13;17;6;32;0;1
b000tp6g;5.2;;Reykjanes Ridge;416;0;M 5.2 - Reykjanes Ridge;2015;2;13;16;33;10;0;0
b000tp5q;7.1;green;Northern Mid-Atlantic Ridge;776;1;M 7.1 - Northern Mid-Atlantic Ridge;2015;2;13;15;59;12;0;1
b000tp5k;5.3;;Northern Mid-Atlantic Ridge;432;0;M 5.3 - Northern Mid-Atlantic Ridge;2015;2;13;15;48;17;0;0
b000tp4x;5.1;;69km NNW of Lae, Papua New Guinea;400;1;M 5.1 - 69km NNW of Lae, Papua New Guinea;2015;2;13;14;30;55;0;0
b000tp4f;5.0;;231km SE of Lorengau, Papua New Guinea;385;0;M 5.0 - 231km SE of Lorengau, Papua New Guinea;2015;2;13;14;2;5;0;0
b000tnyp;5.0;;107km NNE of Ust'-Kamchatsk Staryy, Russia;385;0;M 5.0 - 107km NNE of Ust'-Kamchatsk Staryy, Russia;2015;2;13;3;40;3;0;0
b000tnlk;5.5;green;82km SW of Tomatlan, Mexico;474;0;M 5.5 - 82km SW of Tomatlan, Mexico;2015;2;12;12;50;59;0;0
b000tnde;5.8;green;202km N of Scott Island Bank, Antarctica;518;0;M 5.8 - 202km N of Scott Island Bank, Antarctica;2015;2;11;18;29;24;0;0
c000tp1s;6.7;green;102km W of El Aguilar, Argentina;700;1;M 6.7 - 102km W of El Aguilar, Argentina;2015;2;11;15;57;22;0;1
c000tnz0;5.5;green;83km NNW of San Antonio de los Cobres, Argentina;465;0;M 5.5 - 83km NNW of San Antonio de los Cobres, Argentina;2015;2;11;10;1;15;0;0
c000tnwj;5.1;;174km NNW of Bamboo Flat, India;400;0;M 5.1 - 174km NNW of Bamboo Flat, India;2015;2;11;0;30;11;0;0
c000tnp2;5.1;;3km W of Prinza, Philippines;402;0;M 5.1 - 3km W of Prinza, Philippines;2015;2;10;13;9;24;0;0
c000tnnx;5.4;green;Carlsberg Ridge;449;0;M 5.4 - Carlsberg Ridge;2015;2;10;11;47;50;0;0
c000tnnb;5.4;;50km NE of Sulangan, Philippines;449;0;M 5.4 - 50km NE of Sulangan, Philippines;2015;2;10;10;29;38;0;0
c000tnc4;5.0;;211km NNE of Ile Hunter, New Caledonia;385;0;M 5.0 - 211km NNE of Ile Hunter, New Caledonia;2015;2;9;9;50;6;0;0
c000tnbc;5.3;;North of Ascension Island;432;0;M 5.3 - North of Ascension Island;2015;2;9;4;59;31;0;0
c000tn7f;5.6;green;13km WNW of Kalumpang, Indonesia;482;1;M 5.6 - 13km WNW of Kalumpang, Indonesia;2015;2;8;12;9;8;0;0
c000tn2m;5.2;;16km ESE of Nabire, Indonesia;416;1;M 5.2 - 16km ESE of Nabire, Indonesia;2015;2;7;15;53;25;0;0
c000tmvl;5.4;;36km SW of Jiquilillo, Nicaragua;454;0;M 5.4 - 36km SW of Jiquilillo, Nicaragua;2015;2;6;19;2;28;0;0
c000tmuq;5.0;;20km ESE of Xunchang, China;385;0;M 5.0 - 20km ESE of Xunchang, China;2015;2;6;18;1;7;0;0
c000tmmq;5.2;;28km SE of Union, Philippines;417;0;M 5.2 - 28km SE of Union, Philippines;2015;2;6;5;3;19;0;0
c000tmia;5.0;;Kepulauan Barat Daya, Indonesia;385;1;M 5.0 - Kepulauan Barat Daya, Indonesia;2015;2;5;15;19;27;0;0
c000tlws;5.3;;South Indian Ocean;432;0;M 5.3 - South Indian Ocean;2015;2;5;10;32;54;0;0
c000tlun;5.7;green;South of Panama;500;0;M 5.7 - South of Panama;2015;2;5;1;40;51;0;0
c000tlui;5.3;green;8km WSW of Umuquena, Venezuela;446;0;M 5.3 - 8km WSW of Umuquena, Venezuela;2015;2;5;1;21;50;0;0
c000tlkz;5.2;;115km SE of Modayag, Indonesia;416;0;M 5.2 - 115km SE of Modayag, Indonesia;2015;2;4;14;41;44;0;0
c000tlgx;5.1;;12km N of Yaguaraparo, Venezuela;402;0;M 5.1 - 12km N of Yaguaraparo, Venezuela;2015;2;4;7;59;28;0;0
c000tlgv;5.1;;98km NW of Luring, China;400;0;M 5.1 - 98km NW of Luring, China;2015;2;4;7;44;16;0;0
c000tlgc;5.5;green;South of Tonga;465;0;M 5.5 - South of Tonga;2015;2;4;5;20;43;0;0
c000tler;5.2;;79km SW of Vaini, Tonga;416;0;M 5.2 - 79km SW of Vaini, Tonga;2015;2;3;22;51;33;0;0
c000tnr6;5.0;;115km E of L'Esperance Rock, New Zealand;385;0;M 5.0 - 115km E of L'Esperance Rock, New Zealand;2015;2;3;8;48;18;0;0
b000tntr;5.3;;75km SSE of Nikolski, Alaska;432;0;M 5.3 - 75km SSE of Nikolski, Alaska;2015;2;3;4;27;22;0;0
c000tl6w;5.5;green;81km SSE of Nikolski, Alaska;465;1;M 5.5 - 81km SSE of Nikolski, Alaska;2015;2;3;4;16;53;0;0
c000tl4e;5.4;;212km WNW of Ile Hunter, New Caledonia;449;0;M 5.4 - 212km WNW of Ile Hunter, New Caledonia;2015;2;2;19;37;38;0;0
c000tl32;5.2;;49km SSW of Kaliandak, Indonesia;416;1;M 5.2 - 49km SSW of Kaliandak, Indonesia;2015;2;2;18;29;40;0;0
c000tkzr;5.0;;79km WSW of Tocopilla, Chile;385;0;M 5.0 - 79km WSW of Tocopilla, Chile;2015;2;2;12;22;10;1;0
c000tkzl;5.4;;29km NE of Gigmoto, Philippines;452;0;M 5.4 - 29km NE of Gigmoto, Philippines;2015;2;2;12;13;39;0;0
c000tkwv;6.3;green;91km NW of La Punta, Argentina;651;0;M 6.3 - 91km NW of La Punta, Argentina;2015;2;2;7;49;48;0;1
c000tkwl;5.9;green;235km WNW of Lorengau, Papua New Guinea;536;1;M 5.9 - 235km WNW of Lorengau, Papua New Guinea;2015;2;2;5;25;48;0;0
c000tktr;5.1;;102km N of Barranca, Peru;400;0;M 5.1 - 102km N of Barranca, Peru;2015;2;1;20;33;0;0;0
c000tksd;5.6;green;Southern Mid-Atlantic Ridge;482;0;M 5.6 - Southern Mid-Atlantic Ridge;2015;2;1;17;2;20;0;0
c000tkrm;5.3;;88km SE of City of Saint Paul, Alaska;433;1;M 5.3 - 88km SE of City of Saint Paul, Alaska;2015;2;1;14;40;31;0;0
c000tndh;5.1;;148km SSE of Isangel, Vanuatu;400;0;M 5.1 - 148km SSE of Isangel, Vanuatu;2015;2;1;10;42;11;0;0
c000tkqu;5.0;;219km WNW of Ile Hunter, New Caledonia;385;0;M 5.0 - 219km WNW of Ile Hunter, New Caledonia;2015;2;1;10;41;10;0;0
